Path,Transcript,goldStandard
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798249_sentence_segment.wav",Zade was thrilled,Zade was thrilled.
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798250_sentence_segment.wav",He leɪkt up an new sneakers and returned to the game wɪf flair,He laced up the new sneakers and returned to the game with flair.
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798251_sentence_segment.wav",By the end of the day Zade's team won,"By the end of the day, Zade's team won."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798252_sentence_segment.wav",As they left the court Zade felt a sense of joy,"As they left the court, Zade felt a sense of joy."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798253_sentence_segment.wav",He learned that friendship and care make any tough time easier to bear,He learned that friendship and care make any tough time easier to bear.
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_gUfM3yODstSdwltidtEzSlIo0q93_sid_YJYpGQOGORLj0onYXX3W_1742770181_195798254_sentence_segment.wav",Once ɔ.əpɔn a time a mouth named L:|Lace leɪs: p|aw.aw|nd pon a n.naɪs s|p|o|t spot to a n|ice sp|ot spot to d|an|ce dance,"Once upon a time, a mouse named Lace found a nice spot to dance."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_gUfM3yODstSdwltidtEzSlIo0q93_sid_YJYpGQOGORLj0onYXX3W_1742770181_195798255_sentence_segment.wav",ʃ:i pr...an...ced pranced and  twirled with g...r...ass grass,She pranced and twirled with grace.
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_gUfM3yODstSdwltidtEzSlIo0q93_sid_YJYpGQOGORLj0onYXX3W_1742770181_195798256_sentence_segment.wav",Once up|a: Once up     n|ay:|me|t.mt neɪmt l|a:|ss ford a n|ih:.|n|ice nice  spot to dance,"Once upon a time, a mouse named Lace found a nice spot to dance."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_p6cLdVe7UtbfmSNky9ER_1743455830_195798257_sentence_segment.wav",Sam and Pam plan ænd̚ əvɛntʃɚ,Sam and Pam plan an adventure.
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_p6cLdVe7UtbfmSNky9ER_1743455830_195798258_sentence_segment.wav",They skid sit si:t sit in a blue van,They sit in a blue van.
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_p6cLdVe7UtbfmSNky9ER_1743455830_195798259_sentence_segment.wav",The blue ðə van goes on sand and mud,The van goes on sand and mud.
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_p6cLdVe7UtbfmSNky9ER_1743455830_195798260_sentence_segment.wav",Sam and Pam guh|uh|r|in grin and clap,Sam and Pam grin and clap.
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_p6cLdVe7UtbfmSNky9ER_1743455830_195798261_sentence_segment.wav",This is fun says Pam,"""This is fun!"" says Pam."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_p6cLdVe7UtbfmSNky9ER_1743455830_195798262_sentence_segment.wav",An an  ant sits on Sam's hat,An ant sits on Sam's hat.
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_p6cLdVe7UtbfmSNky9ER_1743455830_195798263_sentence_segment.wav",Sam æm Pam stop and look,Sam and Pam stop and look.
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_p6cLdVe7UtbfmSNky9ER_1743455830_195798264_sentence_segment.wav",says An ant said Sam,"""An ant!"" says Sam."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_p6cLdVe7UtbfmSNky9ER_1743455830_195798265_sentence_segment.wav",Sam and Pam ah ʊ l|a|a|g laugh laugh laugh then continue k.ɑ|k|oʊ|n|t|ɛ.ɛ|n| ʊ con.con|tin|ue.ue contin|cons continue continue the fun ride on the sand,"Sam and Pam laugh, then continue the fun ride on the sand."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_H7rAk5StNLc0VysmHcZQZTQFpBx2_sid_hjIbQ9OhnZrt82foK1t5_1743079725_195798266_sentence_segment.wav",inuh small town there's a pɹaɪt light called Luna,"In a small town, there was a bright light called Luna."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_H7rAk5StNLc0VysmHcZQZTQFpBx2_sid_hjIbQ9OhnZrt82foK1t5_1743079725_195798267_sentence_segment.wav",Every night lunəɪ would shine high sky ɚ high in the sky glowing and growing,"Every night, Luna would shine high in the sky, glowing and growing."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_H7rAk5StNLc0VysmHcZQZTQFpBx2_sid_hjIbQ9OhnZrt82foK1t5_1743079725_195798268_sentence_segment.wav",One day a little child named Ben wanted to see Luna up close,"One day, a little child named Ben wanted to see Luna up close."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_H7rAk5StNLc0VysmHcZQZTQFpBx2_sid_hjIbQ9OhnZrt82foK1t5_1743079725_195798269_sentence_segment.wav",He climbed a steep hill to reach the top where Luna seemed bigger,He climbed a steep hill to reach the top where Luna seemed bigger.
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_H7rAk5StNLc0VysmHcZQZTQFpBx2_sid_hjIbQ9OhnZrt82foK1t5_1743079725_195798270_sentence_segment.wav",As Ben looked up he saw the moon smile lighting up the world below,"As Ben looked up, he saw the moon smile, lighting up the world below."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_H7rAk5StNLc0VysmHcZQZTQFpBx2_sid_hjIbQ9OhnZrt82foK1t5_1743079725_195798271_sentence_segment.wav",Suddenly a gentle breeze blew and Ben felt the glow of Luna's ,"Suddenly, a gentle breeze blew, and Ben felt the glow of Luna's warmth."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_H7rAk5StNLc0VysmHcZQZTQFpBx2_sid_hjIbQ9OhnZrt82foK1t5_1743079725_195798272_sentence_segment.wav",He waved goodbye and walked back down knowing ðaʊt Luna would always be there lighting in the night with her gentle  glow  I forgot,"He waved goodbye and walked back down, knowing that Luna would always be there, lighting the night with her gentle glow."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_XmxSYUZAj4dRqSczt2clQkDf31M2_sid_qaLzxMtHTyjMeYNVaGNP_1741316108_195798273_sentence_segment.wav",Once upon a time a lion lived in the vantage grasslands,"Once upon a time, a lion lived in the vast grasslands."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_XmxSYUZAj4dRqSczt2clQkDf31M2_sid_qaLzxMtHTyjMeYNVaGNP_1741316108_195798274_sentence_segment.wav",and One day he met a king who was camping,"One day, he met a king who was camping."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_XmxSYUZAj4dRqSczt2clQkDf31M2_sid_qaLzxMtHTyjMeYNVaGNP_1741316108_195798275_sentence_segment.wav",The lion was curious wʌt edge apported the king approached ðə kɪŋ,The lion was curious and approached the king.
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_XmxSYUZAj4dRqSczt2clQkDf31M2_sid_qaLzxMtHTyjMeYNVaGNP_1741316108_195798276_sentence_segment.wav",ðəgl king sh:tood tall honley oldwi holding a this walking s:tɪk,"The king stood tall, holding his walking stick."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_XmxSYUZAj4dRqSczt2clQkDf31M2_sid_qaLzxMtHTyjMeYNVaGNP_1741316108_195798277_sentence_segment.wav",The lion is and king started at each other s:|tarted æt itʃ ʌðɚ until the sky skaɪ turned dark də like naɪt.naɪtfɔl,The lion and king stared at each other until the sky turned dark like nightfall.
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_XmxSYUZAj4dRqSczt2clQkDf31M2_sid_qaLzxMtHTyjMeYNVaGNP_1741316108_195798278_sentence_segment.wav",Then the lion let out a loud ɹo:ɹ,"Then, the lion let out a loud roar."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_XmxSYUZAj4dRqSczt2clQkDf31M2_sid_qaLzxMtHTyjMeYNVaGNP_1741316108_195798279_sentence_segment.wav",The king rides his brave took a step back,"The king, wise and brave, took a step back."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_XmxSYUZAj4dRqSczt2clQkDf31M2_sid_qaLzxMtHTyjMeYNVaGNP_1741316108_195798280_sentence_segment.wav",See the king cau:ge cauge the th lion felt respect,"Seeing the king's courage, the lion felt respect."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_XmxSYUZAj4dRqSczt2clQkDf31M2_sid_qaLzxMtHTyjMeYNVaGNP_1741316108_195798281_sentence_segment.wav",They s:.star sp.shtarteds stroke the kwout mount mount at the sunset,They shared a quiet moment at the sunset.
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_XmxSYUZAj4dRqSczt2clQkDf31M2_sid_qaLzxMtHTyjMeYNVaGNP_1741316108_195798282_sentence_segment.wav",Finally the lion turned a ɛ.ɛənd left while the king remembered to hɪz: ten tent gravely for the extremeler,"Finally, the lion turned and left, while the king returned to his tent, grateful for this encounter."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_21Dw9jLeIqWjrAuRHI1RG1qPz853_sid_DGdDPHDvbqcU25UYdwyt_1741208782_195798283_sentence_segment.wav",Once upon a time a little mouse named Lou lived in a big brown house,"Once upon a time, a little mouse named Lou lived in a big brown house."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_21Dw9jLeIqWjrAuRHI1RG1qPz853_sid_DGdDPHDvbqcU25UYdwyt_1741208782_195798284_sentence_segment.wav",Lou love to ex|plor|ing and one day he found a tiny k.ɹaʊn under the couch,"Lou loved to explore, and one day, he found a tiny crown under the couch."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_21Dw9jLeIqWjrAuRHI1RG1qPz853_sid_DGdDPHDvbqcU25UYdwyt_1741208782_195798285_sentence_segment.wav",Wow what a find l|lu thought placing it on his head,"""Wow, what a find!"" Lou thought, placing it on his head."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_21Dw9jLeIqWjrAuRHI1RG1qPz853_sid_DGdDPHDvbqcU25UYdwyt_1741208782_195798286_sentence_segment.wav",With the grown (like crown) crown crown l:u felt proud,"With the crown, Lou felt proud."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_21Dw9jLeIqWjrAuRHI1RG1qPz853_sid_DGdDPHDvbqcU25UYdwyt_1741208782_195798287_sentence_segment.wav",He ɹæ ɛəndə showed his friends the new treasure,He ran around and showed his friends the new treasure.
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_21Dw9jLeIqWjrAuRHI1RG1qPz853_sid_DGdDPHDvbqcU25UYdwyt_1741208782_195798288_sentence_segment.wav",But sunə the sun began to go down and Lou know nj:u it was time to ɹɛs time to wr:ist,"But soon, the sun began to go down, and Lou knew it was time to rest."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_21Dw9jLeIqWjrAuRHI1RG1qPz853_sid_DGdDPHDvbqcU25UYdwyt_1741208782_195798289_sentence_segment.wav",As he lay in a bed Lou smiled feeling happy in his little world,"As he lay in bed, Lou smiled, feeling happy in his little world."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_TQTGm3pFYchsl1S1E0j0Pz15qno1_sid_7SHXQ4irDDmOvLPgsKxh_1741139454_195798290_sentence_segment.wav",Grace had a big bɹæʃ at hɜw p...a...d pad,Grace had a big bash at her pad.
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_TQTGm3pFYchsl1S1E0j0Pz15qno1_sid_7SHXQ4irDDmOvLPgsKxh_1741139454_195798291_sentence_segment.wav",s.sæm P|a|t Pat and M|a|x Max w:.with g|i|f|t gifts,"Sam, Pat, and Max came with gifts."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_TQTGm3pFYchsl1S1E0j0Pz15qno1_sid_7SHXQ4irDDmOvLPgsKxh_1741139454_195798292_sentence_segment.wav",They sang and clapped as æst Grace c...u...t cut the  cake,They sang and clapped as Grace cut the cake.
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_TQTGm3pFYchsl1S1E0j0Pz15qno1_sid_7SHXQ4irDDmOvLPgsKxh_1741139454_195798293_sentence_segment.wav",pear was a cat and a bat on the cake,There was a cat and a bat on the cake.
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_TQTGm3pFYchsl1S1E0j0Pz15qno1_sid_7SHXQ4irDDmOvLPgsKxh_1741139454_195798294_sentence_segment.wav",Grace was g|l|a|d glad and h|a|d had a n|a|p nap  æftəw the fun date with hɜw p|al|s.s pals,Grace was glad and had a nap after the fun day with her pals.
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_xe2N8wvoGE6N1yF3J1u5_1741215857_195798295_sentence_segment.wav",Mermaid kitty live in a blue wɑk kʌvə,Mermaid Catsy lived in a blue rock cove.
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_xe2N8wvoGE6N1yF3J1u5_1741215857_195798296_sentence_segment.wav",She loved to ʃæt with a chi|chiny fish,She loved to chat with a shiny fish.
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_xe2N8wvoGE6N1yF3J1u5_1741215857_195798297_sentence_segment.wav",One day kitty found a lost backpack on a dock,"One day, Catsy found a lost backpack on a dock."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_xe2N8wvoGE6N1yF3J1u5_1741215857_195798298_sentence_segment.wav",Inside was a map to a block island,Inside was a map to a block island.
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_xe2N8wvoGE6N1yF3J1u5_1741215857_195798299_sentence_segment.wav",Explored the pack quick snacks and swam to the spot,"Excited, she packed quick snacks and swam to the spot."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_xe2N8wvoGE6N1yF3J1u5_1741215857_195798300_sentence_segment.wav",There she met a duck with a s|lɪk gold n: beak,"There, she met a duck with a slick, gold beak."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_xe2N8wvoGE6N1yF3J1u5_1741215857_195798301_sentence_segment.wav",The duck had lost the backpack,The duck had lost the backpack.
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_xe2N8wvoGE6N1yF3J1u5_1741215857_195798302_sentence_segment.wav",ɡʌlfʊl the duck gave her a ʃ:ɛl clock,"Grateful, the duck gifted her a shell clock."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_xe2N8wvoGE6N1yF3J1u5_1741215857_195798303_sentence_segment.wav",Kisty thought him and took back home happy with hith new friend and twɛʒɚ,"Catsy thanked him and ticked back home, happy with her new friend and treasure."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_WU2CHNrkg8hTa41RUFdbv0AtTC42_sid_9JaVWFblrYlOX7TNJfzJ_1741134609_195798304_sentence_segment.wav",In a faraway land brave Ray was known for his amazing cape,"In a faraway land, brave Ray was known for his amazing cape."
"/Users/liu.ying/University of Florida/Leite,Walter - Storiza Corpus Spring 2025/Storiza_Participant_Recording_05-30-25/annotated_sentence_segments/uid_WU2CHNrkg8hTa41RUFdbv0AtTC42_sid_9JaVWFblrYlOX7TNJfzJ_1741134609_195798305_sentence_segment.wav",Each day Ray would train save the day,"Each day, Ray would train to save the day."
