Path,Transcript,goldStandard
processed_audio/annotated_sentence_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798249_sentence_segment_close.wav,Zade was thrilled,Zade was thrilled.
processed_audio/annotated_sentence_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798250_sentence_segment_close.wav,He leɪkt up an new sneakers and returned to the game wɪf flair,He laced up the new sneakers and returned to the game with flair.
processed_audio/annotated_sentence_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798251_sentence_segment_close.wav,By the end of the day Zade's team won,"By the end of the day, Zade's team won."
processed_audio/annotated_sentence_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798252_sentence_segment_close.wav,As they left the court Zade felt a sense of joy,"As they left the court, Zade felt a sense of joy."
processed_audio/annotated_sentence_segments/uid_ukKF4sCANzgmD16fyjMyO7VwR2A2_sid_BhiSjyPVnnE8LlbHAvww_1742164812_195798253_sentence_segment_close.wav,He learned that friendship and care make any tough time easier to bear,He learned that friendship and care make any tough time easier to bear.
processed_audio/annotated_sentence_segments/uid_gUfM3yODstSdwltidtEzSlIo0q93_sid_YJYpGQOGORLj0onYXX3W_1742770181_195798254_sentence_segment_close.wav,Once ɔ.əpɔn a time a mouth named L:|Lace leɪs: p|aw.aw|nd pon a n.naɪs s|p|o|t spot to a n|ice sp|ot spot to d|an|ce dance,"Once upon a time, a mouse named Lace found a nice spot to dance."
processed_audio/annotated_sentence_segments/uid_gUfM3yODstSdwltidtEzSlIo0q93_sid_YJYpGQOGORLj0onYXX3W_1742770181_195798255_sentence_segment_close.wav,ʃ:i pr...an...ced pranced and  twirled with g...r...ass grass,She pranced and twirled with grace.
processed_audio/annotated_sentence_segments/uid_gUfM3yODstSdwltidtEzSlIo0q93_sid_YJYpGQOGORLj0onYXX3W_1742770181_195798256_sentence_segment_close.wav,Once up|a: Once up     n|ay:|me|t.mt neɪmt l|a:|ss ford a n|ih:.|n|ice nice  spot to dance,"Once upon a time, a mouse named Lace found a nice spot to dance."
processed_audio/annotated_sentence_segments/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_p6cLdVe7UtbfmSNky9ER_1743455830_195798257_sentence_segment_close.wav,Sam and Pam plan ænd̚ əvɛntʃəɹ,Sam and Pam plan an adventure.
processed_audio/annotated_sentence_segments/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_p6cLdVe7UtbfmSNky9ER_1743455830_195798258_sentence_segment_close.wav,They skid sit si:t sit in a blue van,They sit in a blue van.
processed_audio/annotated_sentence_segments/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_p6cLdVe7UtbfmSNky9ER_1743455830_195798259_sentence_segment_close.wav,The blue ðə van goes on sand and mud,The van goes on sand and mud.
processed_audio/annotated_sentence_segments/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_p6cLdVe7UtbfmSNky9ER_1743455830_195798260_sentence_segment_close.wav,Sam and Pam guh|uh|r|in grin and clap,Sam and Pam grin and clap.
processed_audio/annotated_sentence_segments/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_p6cLdVe7UtbfmSNky9ER_1743455830_195798261_sentence_segment_close.wav,This is fun says Pam,"""This is fun!"" says Pam."
processed_audio/annotated_sentence_segments/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_p6cLdVe7UtbfmSNky9ER_1743455830_195798262_sentence_segment_close.wav,An an  ant sits on Sam's hat,An ant sits on Sam's hat.
processed_audio/annotated_sentence_segments/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_p6cLdVe7UtbfmSNky9ER_1743455830_195798263_sentence_segment_close.wav,Sam æm Pam stop and look,Sam and Pam stop and look.
processed_audio/annotated_sentence_segments/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_p6cLdVe7UtbfmSNky9ER_1743455830_195798264_sentence_segment_close.wav,says An ant said Sam,"""An ant!"" says Sam."
processed_audio/annotated_sentence_segments/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_p6cLdVe7UtbfmSNky9ER_1743455830_195798265_sentence_segment_close.wav,Sam and Pam ah ʊ l|a|a|g laugh laugh laugh then continue k.ɑ|k|oʊ|n|t|ɛ.ɛ|n| ʊ con.con|tin|ue.ue contin|cons continue continue the fun ride on the sand,"Sam and Pam laugh, then continue the fun ride on the sand."
processed_audio/annotated_sentence_segments/uid_H7rAk5StNLc0VysmHcZQZTQFpBx2_sid_hjIbQ9OhnZrt82foK1t5_1743079725_195798266_sentence_segment_close.wav,inuh small town there's a pɹaɪt light called Luna,"In a small town, there was a bright light called Luna."
processed_audio/annotated_sentence_segments/uid_H7rAk5StNLc0VysmHcZQZTQFpBx2_sid_hjIbQ9OhnZrt82foK1t5_1743079725_195798267_sentence_segment_close.wav,Every night lunəɪ would shine high sky əɹ high in the sky glowing and growing,"Every night, Luna would shine high in the sky, glowing and growing."
processed_audio/annotated_sentence_segments/uid_H7rAk5StNLc0VysmHcZQZTQFpBx2_sid_hjIbQ9OhnZrt82foK1t5_1743079725_195798268_sentence_segment_close.wav,One day a little child named Ben wanted to see Luna up close,"One day, a little child named Ben wanted to see Luna up close."
processed_audio/annotated_sentence_segments/uid_H7rAk5StNLc0VysmHcZQZTQFpBx2_sid_hjIbQ9OhnZrt82foK1t5_1743079725_195798269_sentence_segment_close.wav,He climbed a steep hill to reach the top where Luna seemed bigger,He climbed a steep hill to reach the top where Luna seemed bigger.
processed_audio/annotated_sentence_segments/uid_H7rAk5StNLc0VysmHcZQZTQFpBx2_sid_hjIbQ9OhnZrt82foK1t5_1743079725_195798270_sentence_segment_close.wav,As Ben looked up he saw the moon smile lighting up the world below,"As Ben looked up, he saw the moon smile, lighting up the world below."
processed_audio/annotated_sentence_segments/uid_H7rAk5StNLc0VysmHcZQZTQFpBx2_sid_hjIbQ9OhnZrt82foK1t5_1743079725_195798271_sentence_segment_close.wav,Suddenly a gentle breeze blew and Ben felt the glow of Luna's ,"Suddenly, a gentle breeze blew, and Ben felt the glow of Luna's warmth."
processed_audio/annotated_sentence_segments/uid_H7rAk5StNLc0VysmHcZQZTQFpBx2_sid_hjIbQ9OhnZrt82foK1t5_1743079725_195798272_sentence_segment_close.wav,He waved goodbye and walked back down knowing ðaʊt Luna would always be there lighting in the night with her gentle  glow  I forgot,"He waved goodbye and walked back down, knowing that Luna would always be there, lighting the night with her gentle glow."
processed_audio/annotated_sentence_segments/uid_XmxSYUZAj4dRqSczt2clQkDf31M2_sid_qaLzxMtHTyjMeYNVaGNP_1741316108_195798273_sentence_segment_close.wav,Once upon a time a lion lived in the vantage grasslands,"Once upon a time, a lion lived in the vast grasslands."
processed_audio/annotated_sentence_segments/uid_XmxSYUZAj4dRqSczt2clQkDf31M2_sid_qaLzxMtHTyjMeYNVaGNP_1741316108_195798274_sentence_segment_close.wav,and One day he met a king who was camping,"One day, he met a king who was camping."
processed_audio/annotated_sentence_segments/uid_XmxSYUZAj4dRqSczt2clQkDf31M2_sid_qaLzxMtHTyjMeYNVaGNP_1741316108_195798275_sentence_segment_close.wav,The lion was curious wʌt edge apported the king approached ðə kɪŋ,The lion was curious and approached the king.
processed_audio/annotated_sentence_segments/uid_XmxSYUZAj4dRqSczt2clQkDf31M2_sid_qaLzxMtHTyjMeYNVaGNP_1741316108_195798276_sentence_segment_close.wav,ðəgl king sh:tood tall honley oldwi holding a this walking s:tɪk,"The king stood tall, holding his walking stick."
processed_audio/annotated_sentence_segments/uid_XmxSYUZAj4dRqSczt2clQkDf31M2_sid_qaLzxMtHTyjMeYNVaGNP_1741316108_195798277_sentence_segment_close.wav,The lion is and king started at each other s:|tarted æt itʃ ʌðəɹ until the sky skaɪ turned dark də like naɪt.naɪtfɔl,The lion and king stared at each other until the sky turned dark like nightfall.
processed_audio/annotated_sentence_segments/uid_XmxSYUZAj4dRqSczt2clQkDf31M2_sid_qaLzxMtHTyjMeYNVaGNP_1741316108_195798278_sentence_segment_close.wav,Then the lion let out a loud ɹo:ɹ,"Then, the lion let out a loud roar."
processed_audio/annotated_sentence_segments/uid_XmxSYUZAj4dRqSczt2clQkDf31M2_sid_qaLzxMtHTyjMeYNVaGNP_1741316108_195798279_sentence_segment_close.wav,The king rides his brave took a step back,"The king, wise and brave, took a step back."
processed_audio/annotated_sentence_segments/uid_XmxSYUZAj4dRqSczt2clQkDf31M2_sid_qaLzxMtHTyjMeYNVaGNP_1741316108_195798280_sentence_segment_close.wav,See the king cau:ge cauge the th lion felt respect,"Seeing the king's courage, the lion felt respect."
processed_audio/annotated_sentence_segments/uid_XmxSYUZAj4dRqSczt2clQkDf31M2_sid_qaLzxMtHTyjMeYNVaGNP_1741316108_195798281_sentence_segment_close.wav,They s:.star sp.shtarteds stroke the kwout mount mount at the sunset,They shared a quiet moment at the sunset.
processed_audio/annotated_sentence_segments/uid_XmxSYUZAj4dRqSczt2clQkDf31M2_sid_qaLzxMtHTyjMeYNVaGNP_1741316108_195798282_sentence_segment_close.wav,Finally the lion turned a ɛ.ɛənd left while the king remembered to hɪz: ten tent gravely for the extremeler,"Finally, the lion turned and left, while the king returned to his tent, grateful for this encounter."
processed_audio/annotated_sentence_segments/uid_21Dw9jLeIqWjrAuRHI1RG1qPz853_sid_DGdDPHDvbqcU25UYdwyt_1741208782_195798283_sentence_segment_close.wav,Once upon a time a little mouse named Lou lived in a big brown house,"Once upon a time, a little mouse named Lou lived in a big brown house."
processed_audio/annotated_sentence_segments/uid_21Dw9jLeIqWjrAuRHI1RG1qPz853_sid_DGdDPHDvbqcU25UYdwyt_1741208782_195798284_sentence_segment_close.wav,Lou love to ex|plor|ing and one day he found a tiny k.ɹaʊn under the couch,"Lou loved to explore, and one day, he found a tiny crown under the couch."
processed_audio/annotated_sentence_segments/uid_21Dw9jLeIqWjrAuRHI1RG1qPz853_sid_DGdDPHDvbqcU25UYdwyt_1741208782_195798285_sentence_segment_close.wav,Wow what a find l|lu thought placing it on his head,"""Wow, what a find!"" Lou thought, placing it on his head."
processed_audio/annotated_sentence_segments/uid_21Dw9jLeIqWjrAuRHI1RG1qPz853_sid_DGdDPHDvbqcU25UYdwyt_1741208782_195798286_sentence_segment_close.wav,With the grown (like crown) crown crown l:u felt proud,"With the crown, Lou felt proud."
processed_audio/annotated_sentence_segments/uid_21Dw9jLeIqWjrAuRHI1RG1qPz853_sid_DGdDPHDvbqcU25UYdwyt_1741208782_195798287_sentence_segment_close.wav,He ɹæ ɛəndə showed his friends the new treasure,He ran around and showed his friends the new treasure.
processed_audio/annotated_sentence_segments/uid_21Dw9jLeIqWjrAuRHI1RG1qPz853_sid_DGdDPHDvbqcU25UYdwyt_1741208782_195798288_sentence_segment_close.wav,But sunə the sun began to go down and Lou know nj:u it was time to ɹɛs time to wr:ist,"But soon, the sun began to go down, and Lou knew it was time to rest."
processed_audio/annotated_sentence_segments/uid_21Dw9jLeIqWjrAuRHI1RG1qPz853_sid_DGdDPHDvbqcU25UYdwyt_1741208782_195798289_sentence_segment_close.wav,As he lay in a bed Lou smiled feeling happy in his little world,"As he lay in bed, Lou smiled, feeling happy in his little world."
processed_audio/annotated_sentence_segments/uid_TQTGm3pFYchsl1S1E0j0Pz15qno1_sid_7SHXQ4irDDmOvLPgsKxh_1741139454_195798290_sentence_segment_close.wav,Grace had a big bɹæʃ at hɜw p...a...d pad,Grace had a big bash at her pad.
processed_audio/annotated_sentence_segments/uid_TQTGm3pFYchsl1S1E0j0Pz15qno1_sid_7SHXQ4irDDmOvLPgsKxh_1741139454_195798291_sentence_segment_close.wav,s.sæm P|a|t Pat and M|a|x Max w:.with g|i|f|t gifts,"Sam, Pat, and Max came with gifts."
processed_audio/annotated_sentence_segments/uid_TQTGm3pFYchsl1S1E0j0Pz15qno1_sid_7SHXQ4irDDmOvLPgsKxh_1741139454_195798292_sentence_segment_close.wav,They sang and clapped as æst Grace c...u...t cut the  cake,They sang and clapped as Grace cut the cake.
processed_audio/annotated_sentence_segments/uid_TQTGm3pFYchsl1S1E0j0Pz15qno1_sid_7SHXQ4irDDmOvLPgsKxh_1741139454_195798293_sentence_segment_close.wav,pear was a cat and a bat on the cake,There was a cat and a bat on the cake.
processed_audio/annotated_sentence_segments/uid_TQTGm3pFYchsl1S1E0j0Pz15qno1_sid_7SHXQ4irDDmOvLPgsKxh_1741139454_195798294_sentence_segment_close.wav,Grace was g|l|a|d glad and h|a|d had a n|a|p nap  æftəw the fun date with hɜw p|al|s.s pals,Grace was glad and had a nap after the fun day with her pals.
processed_audio/annotated_sentence_segments/uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_xe2N8wvoGE6N1yF3J1u5_1741215857_195798295_sentence_segment_close.wav,Mermaid kitty live in a blue wɑk kʌvə,Mermaid Catsy lived in a blue rock cove.
processed_audio/annotated_sentence_segments/uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_xe2N8wvoGE6N1yF3J1u5_1741215857_195798296_sentence_segment_close.wav,She loved to ʃæt with a chi|chiny fish,She loved to chat with a shiny fish.
processed_audio/annotated_sentence_segments/uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_xe2N8wvoGE6N1yF3J1u5_1741215857_195798297_sentence_segment_close.wav,One day kitty found a lost backpack on a dock,"One day, Catsy found a lost backpack on a dock."
processed_audio/annotated_sentence_segments/uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_xe2N8wvoGE6N1yF3J1u5_1741215857_195798298_sentence_segment_close.wav,Inside was a map to a block island,Inside was a map to a block island.
processed_audio/annotated_sentence_segments/uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_xe2N8wvoGE6N1yF3J1u5_1741215857_195798299_sentence_segment_close.wav,Explored the pack quick snacks and swam to the spot,"Excited, she packed quick snacks and swam to the spot."
processed_audio/annotated_sentence_segments/uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_xe2N8wvoGE6N1yF3J1u5_1741215857_195798300_sentence_segment_close.wav,There she met a duck with a s|lɪk gold n: beak,"There, she met a duck with a slick, gold beak."
processed_audio/annotated_sentence_segments/uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_xe2N8wvoGE6N1yF3J1u5_1741215857_195798301_sentence_segment_close.wav,The duck had lost the backpack,The duck had lost the backpack.
processed_audio/annotated_sentence_segments/uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_xe2N8wvoGE6N1yF3J1u5_1741215857_195798302_sentence_segment_close.wav,ɡʌlfʊl the duck gave her a ʃ:ɛl clock,"Grateful, the duck gifted her a shell clock."
processed_audio/annotated_sentence_segments/uid_mHWscHBXcoabM7fdw88AliGuPWw1_sid_xe2N8wvoGE6N1yF3J1u5_1741215857_195798303_sentence_segment_close.wav,Kisty thought him and took back home happy with hith new friend and twɛʒəɹ,"Catsy thanked him and ticked back home, happy with her new friend and treasure."
processed_audio/annotated_sentence_segments/uid_WU2CHNrkg8hTa41RUFdbv0AtTC42_sid_9JaVWFblrYlOX7TNJfzJ_1741134609_195798304_sentence_segment_close.wav,In a faraway land brave Ray was known for his amazing cape,"In a faraway land, brave Ray was known for his amazing cape."
processed_audio/annotated_sentence_segments/uid_WU2CHNrkg8hTa41RUFdbv0AtTC42_sid_9JaVWFblrYlOX7TNJfzJ_1741134609_195798305_sentence_segment_close.wav,Each day Ray would train save the day,"Each day, Ray would train to save the day."
processed_audio/annotated_sentence_segments/uid_WU2CHNrkg8hTa41RUFdbv0AtTC42_sid_9JaVWFblrYlOX7TNJfzJ_1741134609_195798306_sentence_segment_close.wav,Today he said I will make a plan to help,"""Today,"" he said, ""I will make a plan to help!"""
processed_audio/annotated_sentence_segments/uid_WU2CHNrkg8hTa41RUFdbv0AtTC42_sid_9JaVWFblrYlOX7TNJfzJ_1741134609_195798307_sentence_segment_close.wav,Ray's friend Jay join ɪ.ɪn eager to play and aid,"Ray's friend, Jay, joined in, eager to play and aid."
processed_audio/annotated_sentence_segments/uid_WU2CHNrkg8hTa41RUFdbv0AtTC42_sid_9JaVWFblrYlOX7TNJfzJ_1741134609_195798308_sentence_segment_close.wav,They set out to find ways to keep the town safe,They set out to find ways to keep the town safe.
processed_audio/annotated_sentence_segments/uid_WU2CHNrkg8hTa41RUFdbv0AtTC42_sid_9JaVWFblrYlOX7TNJfzJ_1741134609_195798309_sentence_segment_close.wav,Way up high they spotted a f:ɹeɪ,"Way up high, they spotted a fray."
processed_audio/annotated_sentence_segments/uid_WU2CHNrkg8hTa41RUFdbv0AtTC42_sid_9JaVWFblrYlOX7TNJfzJ_1741134609_195798310_sentence_segment_close.wav,s:wiftly they f:lu: to f:ɪks the dismay,"Swiftly, they flew to fix the dismay."
processed_audio/annotated_sentence_segments/uid_WU2CHNrkg8hTa41RUFdbv0AtTC42_sid_9JaVWFblrYlOX7TNJfzJ_1741134609_195798311_sentence_segment_close.wav,baɪ: deɪ:z end peace was restored,"By day's end, peace was restored."
processed_audio/annotated_sentence_segments/uid_WU2CHNrkg8hTa41RUFdbv0AtTC42_sid_9JaVWFblrYlOX7TNJfzJ_1741134609_195798312_sentence_segment_close.wav,The town cheered and waved as Ray and Jay flew away promising to always return when the town would need to play it safe again,"The town cheered and waved as Ray and Jay flew away, promising to always return when the town would need to play it safe again."
processed_audio/annotated_sentence_segments/uid_4w6SC0KmlKV4YmJTalgWiZalQHi2_sid_WFBJxSGh2uCXWoF0Nr92_1742511762_195798313_sentence_segment_close.wav,Once upon a time in a far.|faraway land there lived a group of magical creatures called the Whis.|whistol|lots whistolot wis,"""Once upon a time, in a faraway land, there lived a group of magical creatures called the 'Whistolots'."
processed_audio/annotated_sentence_segments/uid_4w6SC0KmlKV4YmJTalgWiZalQHi2_sid_WFBJxSGh2uCXWoF0Nr92_1742511762_195798314_sentence_segment_close.wav,These creatures had the power to wɪs wɪstəl whistle with their long pointy noses,"These creatures had the power to whistle with their long, pointy noses."
processed_audio/annotated_sentence_segments/uid_4w6SC0KmlKV4YmJTalgWiZalQHi2_sid_WFBJxSGh2uCXWoF0Nr92_1742511762_195798315_sentence_segment_close.wav,They wɪvd in a bright colorful forest filled with all kinds of trees ən flowers,"They lived in a bright, colorful forest filled with all kinds of trees and flowers."
processed_audio/annotated_sentence_segments/uid_4w6SC0KmlKV4YmJTalgWiZalQHi2_sid_WFBJxSGh2uCXWoF0Nr92_1742511762_195798316_sentence_segment_close.wav,One day a brave wɪs wɪs Whistolot named wɪzli Whizzy set out on a journey to find a rare plant called the Whisperberry,"One day, a brave Whistolot named Whizzy set out on a journey to find a rare plant called the 'Whisperberry'."
processed_audio/annotated_sentence_segments/uid_4w6SC0KmlKV4YmJTalgWiZalQHi2_sid_WFBJxSGh2uCXWoF0Nr92_1742511762_195798317_sentence_segment_close.wav,This plant was said to have magical powers that could make anyone who ate it able to whistle beautifully,"This plant was said to have magical powers that could make anyone who ate it, able to whistle beautifully."
processed_audio/annotated_sentence_segments/uid_4w6SC0KmlKV4YmJTalgWiZalQHi2_sid_WFBJxSGh2uCXWoF0Nr92_1742511762_195798318_sentence_segment_close.wav,Whizzy search high and low brave braving through θ:ɪk bushes and tall trees unay until h:i finally found the Whisperberry plant,"Whizzy searched high and low, braving through thick bushes and tall trees until he finally found the Whisperberry plant."
processed_audio/annotated_sentence_segments/uid_4w6SC0KmlKV4YmJTalgWiZalQHi2_sid_WFBJxSGh2uCXWoF0Nr92_1742511762_195798319_sentence_segment_close.wav,But as he plucked the berry he notice they they made a funny noise ah a th sound a th sound,"But as he plucked the berries, he noticed they made a funny noise - a 'th' sound."
processed_audio/annotated_sentence_segments/uid_4w6SC0KmlKV4YmJTalgWiZalQHi2_sid_WFBJxSGh2uCXWoF0Nr92_1742511762_195798320_sentence_segment_close.wav,Amazed by his discovery wɪz:i took the berries back to his vige village and started it shared them with his fellow Whistolots,"Amazed by this discovery, Whizzy took the berries back to his village and shared them with his fellow Whistolots."
processed_audio/annotated_sentence_segments/uid_4w6SC0KmlKV4YmJTalgWiZalQHi2_sid_WFBJxSGh2uCXWoF0Nr92_1742511762_195798321_sentence_segment_close.wav,They all They all ate the berries and s: and soon enough they were all able to whistle the with th with a th sound,"They all ate the berries and soon enough, they were all able to whistle with a 'th' sound."
processed_audio/annotated_sentence_segments/uid_4w6SC0KmlKV4YmJTalgWiZalQHi2_sid_WFBJxSGh2uCXWoF0Nr92_1742511762_195798322_sentence_segment_close.wav,From that day on the Whistolots were known for their un unique unique 'th' whistles and all the other animals and in the forest were amazed,"From that day on, the Whistolots were known for their unique 'th' whistles, and all the other animals in the forest were amazed."
processed_audio/annotated_sentence_segments/uid_4w6SC0KmlKV4YmJTalgWiZalQHi2_sid_WFBJxSGh2uCXWoF0Nr92_1742511762_195798323_sentence_segment_close.wav,They all lived happily ever after whistling with their noses and their mouths,"They all lived happily ever after, whistling with their noses and their mouths."""
processed_audio/annotated_sentence_segments/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_rLPnR4znaTm5MBeGpUC3_1743543079_195798324_sentence_segment_close.wav,Sam has a big beɪɡ,Sam has a big bag.
processed_audio/annotated_sentence_segments/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_rLPnR4znaTm5MBeGpUC3_1743543079_195798325_sentence_segment_close.wav,The bag has a cap and a b...a...t pæt,The bag has a cap and a bat.
processed_audio/annotated_sentence_segments/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_rLPnR4znaTm5MBeGpUC3_1743543079_195798326_sentence_segment_close.wav,Sam is at the mat,Sam is at the mat.
processed_audio/annotated_sentence_segments/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_rLPnR4znaTm5MBeGpUC3_1743543079_195798327_sentence_segment_close.wav,The mat is red,The mat is red.
processed_audio/annotated_sentence_segments/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_rLPnR4znaTm5MBeGpUC3_1743543079_195798328_sentence_segment_close.wav,Sam can sit on the mat,Sam can sit on the mat.
processed_audio/annotated_sentence_segments/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_rLPnR4znaTm5MBeGpUC3_1743543079_195798329_sentence_segment_close.wav,A cat is at the mat,A cat is at the mat.
processed_audio/annotated_sentence_segments/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_rLPnR4znaTm5MBeGpUC3_1743543079_195798330_sentence_segment_close.wav,The cat has a an tan,The cat has a tan.
processed_audio/annotated_sentence_segments/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_rLPnR4znaTm5MBeGpUC3_1743543079_195798331_sentence_segment_close.wav,Sam and the cat nap,Sam and the cat nap.
processed_audio/annotated_sentence_segments/uid_tHP0GvI5hccNGBzYfgE2pkEHXiW2_sid_rLPnR4znaTm5MBeGpUC3_1743543079_195798332_sentence_segment_close.wav,Nap is fun,Nap is fun.
